172.23.0.1 | http | o@R2Q97Xx732x5x2 | - | 2019-10-10 12:12:16,151 | "GET /s/d35338dac4087c33673a64d98b85f2a0-CDN/364032122/bdc7899/1/1049f99043af0796dbe59ef217395e6a/_/download/contextbatch/js/bitbucket.page.setup.database,-_super/batch.js HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | 200 | 0 | 63648 | - | 773 | 1wd6zia | 
172.23.0.1 | http | o@R2Q97Xx732x8x5 | - | 2019-10-10 12:12:17,967 | "GET /s/76fd3e57bbf5598ce176d9ea6045cbf8-CDN/364032122/bdc7899/1/e98c37297880c17e0b1532e1bf41cca0/_/download/contextbatch/js/bitbucket.layout.setup,bitbucket.layout.base,atl.general,-_super/batch.js HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | 200 | 0 | 504343 | - | 2551 | 1wd6zia | 
172.23.0.1 | http | o@R2Q97Xx732x3x0 | - | 2019-10-10 12:12:18,726 | "GET /s/edf437dc4b10fe4df6eaf805767e3283-CDN/364032122/bdc7899/1/d80731c17f89a8994f1c886a55266f6b/_/download/contextbatch/css/_super/batch.css HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | 200 | 0 | 171571 | - | 3395 | 1wd6zia | 
172.23.0.1 | http | o@R2Q97Xx732x6x3 | - | 2019-10-10 12:12:18,909 | "GET /s/dfdd11b7b57e8ab816e88c557942082b-CDN/364032122/bdc7899/1/d80731c17f89a8994f1c886a55266f6b/_/download/contextbatch/js/_super/batch.js HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | 200 | 0 | 916672 | - | 3523 | 1wd6zia | 
172.23.0.1 | http | i@R2Q97Xx732x9x0 | - | 2019-10-10 12:12:19,116 | "GET /s/364032122/bdc7899/1/1.0/_/download/resources/com.atlassian.bitbucket.server.bitbucket-webpack-INTERNAL:bitbucket-logo/images/logo/bitbucket.svg HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | - | - | - | - | - | 1wd6zia | 
172.23.0.1 | http | o@R2Q97Xx732x9x0 | - | 2019-10-10 12:12:19,142 | "GET /s/364032122/bdc7899/1/1.0/_/download/resources/com.atlassian.bitbucket.server.bitbucket-webpack-INTERNAL:bitbucket-logo/images/logo/bitbucket.svg HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | 200 | 0 | 5667 | - | 26 | 1wd6zia | 
172.23.0.1 | http | i@R2Q97Xx732x10x0 | - | 2019-10-10 12:12:19,159 | "GET /s/364032122/bdc7899/1/8.1.0/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.56dfb54d0c/a8a4e16121667c69c76ccf1f989bfab4.woff HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | - | - | - | - | - | 1wd6zia | 
172.23.0.1 | http | i@R2Q97Xx732x11x1 | - | 2019-10-10 12:12:19,189 | "GET /rest/shortcuts/latest/shortcuts/bdc7899/bundled HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | - | - | - | - | - | 1wd6zia | 
172.23.0.1 | http | o@R2Q97Xx732x10x0 | - | 2019-10-10 12:12:19,208 | "GET /s/364032122/bdc7899/1/8.1.0/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.56dfb54d0c/a8a4e16121667c69c76ccf1f989bfab4.woff HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | 200 | 0 | 25432 | - | 48 | 1wd6zia | 
172.23.0.1 | http | i@R2Q97Xx732x12x1 | - | 2019-10-10 12:12:19,223 | "GET /s/364032122/bdc7899/1/8.1.0/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.vendors--7da3927366/b91d19259cf480661ef93b67beb45234.svg HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | - | - | - | - | - | 1wd6zia | 
172.23.0.1 | http | o@R2Q97Xx732x12x1 | - | 2019-10-10 12:12:19,254 | "GET /s/364032122/bdc7899/1/8.1.0/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.vendors--7da3927366/b91d19259cf480661ef93b67beb45234.svg HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | 200 | 0 | 2699 | - | 31 | 1wd6zia | 
172.23.0.1 | http | i@R2Q97Xx732x13x1 | - | 2019-10-10 12:12:19,429 | "GET /s/364032122/bdc7899/1/1.0/_/download/resources/com.atlassian.bitbucket.server.bitbucket-webpack-INTERNAL:favicon/favicon.ico HTTP/1.1" | "http://vincents-macbook-pro-7.local:7990/setup" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15" | - | - | - | - | - | 1wd6zia | 
